qid,text,dataset,Emotional,Environmental,Financial,Intellectual,Occupational,Physical,Social,Spiritual
CD_RISC_8,"I tend to bounce back after illness, injury, or other hardships.",CD-RISC,0.2643815,0.087611005,0.16124299,0.097404934,0.13650115,0.2932988,0.15199861,0.15232405
CD_RISC_9,I believe most things happen for a reason.,CD-RISC,0.17944877,0.13833326,0.0734673,0.05010571,0.05820508,-0.0015560522,0.10972457,0.2107389
GPT_ENV_1,My surroundings help me feel calm and settled.,GPT-SYN,0.38321933,0.37728754,0.12516573,0.2615157,0.21806736,0.1898637,0.22399053,0.27642673
GPT_ENV_10,I feel less stressed when my surroundings are quiet and orderly.,GPT-SYN,0.33092088,0.38342497,0.11398818,0.16941668,0.21435222,0.17624311,0.18910673,0.16454238
GPT_ENV_11,The places where I spend time influence how focused I feel.,GPT-SYN,0.30242476,0.2954806,0.251644,0.36762092,0.37115327,0.21646182,0.33157006,0.29413918
GPT_ENV_12,My environment makes it easier for me to take care of myself.,GPT-SYN,0.32186946,0.56796664,0.24472585,0.22550373,0.30374226,0.28162128,0.2765661,0.21784429
GPT_ENV_13,I feel more comfortable when my surroundings match my needs.,GPT-SYN,0.30852062,0.46302453,0.13823684,0.1823755,0.30311337,0.24166921,0.28417578,0.24606207
GPT_ENV_14,The people and spaces around me contribute to my sense of stability.,GPT-SYN,0.28311712,0.34993297,0.20807655,0.24831347,0.22798376,0.21896413,0.39111173,0.3184398
GPT_ENV_15,I function better when my environment supports both concentration and rest.,GPT-SYN,0.11190905,0.2936,0.14591035,0.105750605,0.22821364,0.23979326,0.07736997,0.13028558
GPT_ENV_16,My physical surroundings have a noticeable effect on my mental health.,GPT-SYN,0.30486202,0.4163335,0.0919831,0.1826661,0.26055834,0.36616704,0.22150819,0.25312942
GPT_ENV_17,I feel more at peace in spaces that are calm and familiar.,GPT-SYN,0.34897557,0.34137952,0.000721886,0.23181152,0.17799306,0.08553342,0.23358023,0.28286704
GPT_ENV_18,My everyday environment supports my overall well-being.,GPT-SYN,0.40928826,0.5204576,0.30545124,0.30915925,0.4723114,0.39249116,0.3870521,0.3466944
GPT_ENV_2,I feel more at ease when my living space is clean and organized.,GPT-SYN,0.25012127,0.42855978,0.15171337,0.21973622,0.265253,0.17019294,0.25007212,0.1645024
GPT_ENV_3,Noise or clutter in my environment makes it harder for me to relax.,GPT-SYN,0.24637485,0.42510635,0.09755737,0.16391747,0.1904532,0.13357922,0.13371187,0.16152681
GPT_ENV_4,I have access to spaces where I can rest and recharge.,GPT-SYN,0.061417054,0.15338698,0.12952277,0.053287685,0.10490277,0.12600437,-0.0037580573,0.0846419
GPT_ENV_5,My daily environment supports healthy routines.,GPT-SYN,0.19808081,0.39201945,0.20920599,0.18554607,0.35887238,0.5087892,0.18211873,0.18302563
GPT_ENV_6,I feel safer when the spaces around me are predictable and comfortable.,GPT-SYN,0.17434143,0.3427732,0.05140542,0.101119734,0.0890515,0.12683567,0.20459907,0.10196451
GPT_ENV_7,The condition of my surroundings affects my mood.,GPT-SYN,0.34503588,0.38773876,0.06184287,0.18611386,0.28679654,0.17529388,0.18828657,0.22280829
GPT_ENV_8,I am able to create a personal space that supports my well-being.,GPT-SYN,0.34093943,0.37669694,0.30385065,0.24103907,0.325488,0.268596,0.3871448,0.32685342
GPT_ENV_9,My home environment helps me feel secure.,GPT-SYN,0.2316082,0.4169213,0.18566176,0.14868176,0.18613327,0.183563,0.24708788,0.16909075
GPT_FIN_1,I feel informed about my financial situation.,GPT-SYN,0.20433466,0.080498524,0.49080762,0.14908913,0.10034277,0.09758886,0.12154261,0.08016034
GPT_FIN_10,I can balance current expenses with future goals.,GPT-SYN,0.10787171,0.04907165,0.47417325,0.16276151,0.23211582,0.08520284,0.05391597,0.14124271
GPT_FIN_11,I feel more independent when my finances are under control.,GPT-SYN,0.22337377,0.088380024,0.4626054,0.15611126,0.18491979,0.072963536,0.2185257,0.09853359
GPT_FIN_12,My spending habits reflect my priorities.,GPT-SYN,0.16082196,0.19459257,0.4484579,0.19270599,0.2976477,0.26083222,0.21436647,0.1674279
GPT_FIN_13,I feel prepared to handle routine financial responsibilities.,GPT-SYN,0.19741842,0.14188105,0.53979194,0.18408056,0.23716941,0.23152545,0.13087463,0.11939861
GPT_FIN_14,Worrying about money can make it harder for me to focus.,GPT-SYN,0.12021829,0.04682011,0.40895185,0.2243003,0.14791933,0.08905411,0.097558975,0.06885502
GPT_FIN_15,I understand where my money is going each month.,GPT-SYN,0.120929815,0.09261072,0.36931306,0.11862515,0.08699963,0.07377362,0.104949035,0.12134476
GPT_FIN_16,I feel less stressed when my finances are organized.,GPT-SYN,0.24836862,0.10092163,0.46091813,0.1264166,0.19560267,0.09830799,0.17098518,0.09172719
GPT_FIN_17,My financial situation influences the choices I make in daily life.,GPT-SYN,0.23334368,0.21592839,0.6129774,0.23808642,0.29624754,0.16381855,0.2552334,0.17504632
GPT_FIN_18,I feel more secure when I am able to save for the future.,GPT-SYN,0.24866827,0.15859845,0.33695176,0.17949232,0.080639586,0.11740029,0.20969467,0.15622462
GPT_FIN_2,Unexpected expenses create stress for me.,GPT-SYN,0.20106027,0.17258939,0.37699336,0.09777068,0.16078694,0.06605416,0.08267724,0.10145793
GPT_FIN_3,I can usually plan my spending without feeling overwhelmed.,GPT-SYN,0.1175954,0.049103737,0.3645597,0.15901263,0.16895148,0.12696151,0.07416644,0.08533524
GPT_FIN_4,My financial situation affects how secure I feel.,GPT-SYN,0.17646419,0.11554959,0.50603116,0.100789964,0.09014024,0.0882068,0.17042169,0.098547526
GPT_FIN_5,I feel more stable when I have a clear financial plan.,GPT-SYN,0.15648194,0.07171701,0.48660827,0.15419872,0.047751337,0.11191474,0.11798469,0.083369
GPT_FIN_6,Money concerns interfere with my peace of mind.,GPT-SYN,0.14688984,0.1352869,0.37444624,0.17250411,0.07939013,0.020904772,0.14437999,0.21722023
GPT_FIN_7,I feel confident managing my money from week to week.,GPT-SYN,0.14889206,0.035145424,0.3648375,0.15241086,0.13507512,0.09326982,0.13252845,0.096184
GPT_FIN_8,I am able to make financial decisions that support my long-term needs.,GPT-SYN,0.24259305,0.17788683,0.5655041,0.25485605,0.2572558,0.20969443,0.14665098,0.15077204
GPT_FIN_9,Financial uncertainty affects my mood.,GPT-SYN,0.30616203,0.1249725,0.4462935,0.16522482,0.1554471,0.068944484,0.13408795,0.16542195
GPT_OCC_1,I feel that my daily responsibilities have purpose.,GPT-SYN,0.27316612,0.2949545,0.28338978,0.32348838,0.4660048,0.25598907,0.23320553,0.26218382
GPT_OCC_10,My work contributes to my sense of direction in life.,GPT-SYN,0.26036322,0.22863722,0.18803373,0.39236832,0.44182548,0.14424272,0.24213228,0.3324604
GPT_OCC_2,I am satisfied with the direction I am taking in my work or studies.,GPT-SYN,0.16287561,0.14557314,0.2081048,0.36068687,0.40963927,0.16130456,0.16421126,0.16340473
GPT_OCC_3,I feel motivated by the tasks I need to complete each day.,GPT-SYN,0.23399468,0.112541415,0.15440184,0.3145224,0.37925315,0.20573525,0.09620379,0.15960042
GPT_OCC_4,My work allows me to use my strengths.,GPT-SYN,0.34140652,0.13224517,0.2472342,0.3385083,0.4481825,0.27153522,0.24081671,0.26347703
GPT_OCC_5,I feel more confident when I can see progress in my work.,GPT-SYN,0.19395915,0.063806295,0.12456808,0.3143342,0.3013845,0.16049682,0.18127705,0.13642788
GPT_OCC_6,I can usually balance productivity with rest.,GPT-SYN,0.18963456,0.15231177,0.2592106,0.2068614,0.4225462,0.2823056,0.1512475,0.14913735
GPT_OCC_7,My efforts feel meaningful to me.,GPT-SYN,0.31297344,0.18375032,0.153205,0.30144757,0.3504899,0.232166,0.25492078,0.36001197
GPT_OCC_8,I feel capable of handling the demands of my work or studies.,GPT-SYN,0.36479688,0.1481032,0.3384002,0.39272493,0.41748327,0.24525142,0.18891709,0.21943477
GPT_OCC_9,I find satisfaction in accomplishing important tasks.,GPT-SYN,0.3426664,0.23275223,0.25638637,0.43543997,0.58255833,0.29501146,0.3154998,0.25719208
GPT_PHY_1,I notice when stress begins to affect my body.,GPT-SYN,0.3655405,0.13498823,0.09110465,0.14285907,0.11620732,0.17696336,0.13544397,0.16705632
GPT_PHY_10,My physical condition influences how capable I feel mentally and emotionally.,GPT-SYN,0.46116415,0.21243751,0.18883497,0.26098508,0.27755886,0.42143077,0.24661331,0.30453122
GPT_PHY_2,I can usually tell when I need more rest.,GPT-SYN,0.2066923,0.062826455,0.07912431,0.06660904,0.15689372,0.2988521,0.058142863,0.12962076
GPT_PHY_3,My physical health affects how well I function day to day.,GPT-SYN,0.19249435,0.25812632,0.16611381,0.18367627,0.28774583,0.5696796,0.101104096,0.17221908
GPT_PHY_4,I try to maintain habits that support my physical well-being.,GPT-SYN,0.2529207,0.27417192,0.27485377,0.27740014,0.34329087,0.50409603,0.26940453,0.21931374
GPT_PHY_5,Sleep has a strong effect on my mood and energy.,GPT-SYN,0.23315814,0.1493157,0.035797156,0.14849357,0.21106167,0.19600537,0.098099686,0.17216673
GPT_PHY_6,I feel the difference when I take good care of my body.,GPT-SYN,0.2210711,0.20797983,0.11285327,0.15301588,0.21615076,0.42582345,0.18559322,0.20754282
GPT_PHY_7,Physical discomfort can make it harder for me to concentrate.,GPT-SYN,0.28686106,0.15334824,0.14629672,0.24874005,0.21347627,0.251689,0.10213952,0.14995408
GPT_PHY_8,I make choices that support my energy throughout the day.,GPT-SYN,0.23014636,0.2552479,0.24973898,0.24742517,0.24005803,0.31654453,0.12630244,0.22838426
GPT_PHY_9,I pay attention to signs that my body needs recovery.,GPT-SYN,0.3008628,0.104476616,0.1562394,0.12811366,0.16198097,0.37984663,0.15322384,0.20273137
PERMA1_1,How much of the time do you feel you are making progress towards accomplishing your goals?,PERMA,0.19189867,0.046201333,0.18724746,0.26648015,0.2589559,0.15629831,0.1515105,0.15173411
PERMA1_2,How often do you become absorbed in what you are doing?,PERMA,0.1872954,0.18363588,0.1325711,0.23073201,0.2958705,0.24572177,0.11361687,0.16224054
PERMA1_3,How often do you feel joyful?,PERMA,0.3296526,0.095282085,0.037170388,0.19157316,0.2791677,0.12110801,0.15911052,0.171698
PERMA1_4,How often do you feel anxious?,PERMA,0.32419524,0.104412995,0.051849395,0.12569414,0.10850056,0.058556903,0.098382294,0.11377565
PERMA1_5,How often do you achieve the important goals you have set for yourself?,PERMA,0.24323587,0.116947666,0.24851827,0.29569042,0.29622144,0.23299351,0.210399,0.23708579
PERMA2_1,How would you say your health is?,PERMA,0.2542453,0.29214388,0.22528596,0.17527378,0.26430604,0.5451266,0.26522171,0.26983094
PERMA3_1,To what extent do you lead a purposeful and meaningful life?,PERMA,0.35687184,0.30160278,0.24100861,0.38360184,0.404931,0.19291855,0.3205257,0.4820675
PERMA3_2,To what extent do you receive help and support from others when you need it?,PERMA,0.3007221,0.11932752,0.2814743,0.18736164,0.26369613,0.18117838,0.40337166,0.27034205
PERMA3_3,To what extent do you feel that what you do in your life is valuable and worthwhile?,PERMA,0.33558944,0.25174886,0.34270105,0.38348,0.4971176,0.19835274,0.2515329,0.35466456
PERMA3_4,To what extent do you feel excited and interested in things?,PERMA,0.36425754,0.16357255,0.16666555,0.3878103,0.3186366,0.11646177,0.22326323,0.23523526
PERMA3_5,How lonely do you feel in your daily life?,PERMA,0.32496756,0.22910218,0.15276754,0.1622181,0.29873475,0.17913301,0.3094381,0.19504373
PERMA4_1,How satisfied are you with your current physical health?,PERMA,0.20613039,0.17662747,0.13005269,0.13521971,0.2706697,0.5427132,0.1527271,0.14099503
PERMA5_1,How often do you feel positive?,PERMA,0.28352264,0.066094846,0.080673814,0.11227045,0.19418603,0.09743186,0.18986788,0.22230515
PERMA5_2,How often do you feel angry?,PERMA,0.33505437,0.027228674,-0.03147523,0.12546413,0.09453561,-0.008979315,0.08274137,0.049866915
PERMA5_3,How often are you able to handle your responsibilities?,PERMA,0.19685674,0.16259666,0.23805392,0.18952103,0.26406637,0.1568776,0.118433334,0.08141707
PERMA5_4,How often do you feel sad?,PERMA,0.3754334,0.023486743,0.02118264,0.036924914,0.14605847,-0.013413236,0.12675889,0.09570477
PERMA5_5,How often do you lose track of time while doing something you enjoy?,PERMA,0.16386592,0.13844094,0.104940675,0.2359899,0.23841257,0.20930877,0.103075005,0.091405526
PERMA6_1,"Compared to others of your same age and sex, how is your health?",PERMA,0.1669565,0.1665025,0.062333625,0.11690436,0.14121981,0.33335572,0.27145496,0.13553262
PERMA7_1,To what extent do you feel you have a sense of direction in your life?,PERMA,0.29164082,0.2522478,0.14229251,0.2942372,0.23591156,0.12829018,0.25172946,0.37404218
PERMA7_2,How satisfied are you with your personal relationships?,PERMA,0.20600586,0.12917146,0.14320247,0.081633486,0.24088816,0.13086468,0.39281034,0.14981446
PERMA7_3,To what extent do you feel loved?,PERMA,0.4272148,0.18373942,0.1807464,0.21727586,0.2577376,0.19794908,0.22876906,0.26199308
PERMA7_4,To what extent do you feel contented?,PERMA,0.36475378,0.17133735,0.09223418,0.26668483,0.31645754,0.19902495,0.28147015,0.2513507
PERMA8_1,"Taking all things together, how happy would you say you are?",PERMA,0.2946395,0.16830924,0.17897293,0.16910395,0.29590845,0.19588645,0.25373104,0.22700338
PSS_1,"During the past month, what time have you usually gone to bed at night?",PSS,0.03457649,0.06954424,-0.035859194,-0.008064326,0.033767533,0.015708433,-0.010668819,0.05698476
PSS_10_1,"During the past month, how often has your bed partner or room mate reported loud snoring?",PSS,-0.016933242,0.009445617,-0.11147662,-0.07292299,-0.06331955,-0.06345635,0.0067576556,-0.10893315
PSS_10_2,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",PSS,0.041945435,0.051029585,-0.06874248,-0.04840892,-0.06617789,-0.029600408,0.010240134,-0.007828509
PSS_10_3,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",PSS,-0.044816636,-0.060132585,-0.08768085,-0.06898706,-0.10883876,0.034275047,-0.0031424537,-0.06167395
PSS_10_4,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",PSS,0.070127785,0.035025008,-0.06084024,0.0037343197,-0.046992116,-0.004133492,0.009415746,-0.012137834
PSS_10_5,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",PSS,0.03791819,0.025127565,-0.043873303,-0.028155167,-0.02084746,-0.028378477,0.02318133,-0.018153258
PSS_2,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",PSS,0.043173913,0.027401268,-0.073710725,-0.0042058663,-0.007699565,0.00037280918,-0.031607278,0.02759483
PSS_3,"During the past month, what time have you usually gotten up in the morning?",PSS,0.032982096,0.07178168,-0.048326742,0.0033519932,0.051522113,0.042831372,-0.031482752,0.045545332
PSS_4,"During the past month, how many hours of actual sleep did you get at night?",PSS,0.07311676,0.0510199,-0.04713299,0.00631255,0.066391654,0.024837047,-0.00702838,0.040365648
PSS_5_1,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",PSS,0.050087918,0.023597425,-0.046887793,-0.03590683,-0.0484945,-0.013736916,-0.06444777,-0.013886328
PSS_5_10,"During the past month, how often have you had trouble sleeping because of other reasons?",PSS,0.072322205,0.021754405,0.0033418168,-0.04740729,-0.042787395,-0.03596407,-0.03544333,-0.029479574
PSS_5_2,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",PSS,0.036382537,-0.0016199134,-0.031718016,-0.04208053,-0.04636798,-0.04274186,-0.10439827,-0.038720526
PSS_5_3,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",PSS,0.034276854,0.094829805,-0.0007195022,-0.08061849,-0.036509387,0.02946859,-0.05415498,-0.05049192
PSS_5_4,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",PSS,0.10576691,0.10250465,-7.107928e-05,-0.050242938,-0.0567159,0.03109625,-0.041692987,-0.03201941
PSS_5_5,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",PSS,0.04373212,-0.0029053234,-0.069557026,-0.041911535,-0.101024464,-0.08046403,-0.040614553,-0.040617503
PSS_5_6,"During the past month, how often have you had trouble sleeping because you feel too cold?",PSS,0.089861855,-0.008068012,-0.04598815,-0.060031198,-0.060093306,-0.024620784,-0.06506653,-0.009261997
PSS_5_7,"During the past month, how often have you had trouble sleeping because you feel too hot?",PSS,0.10875015,0.022640433,-0.041590665,-0.057902306,-0.012753472,0.03786422,-0.04174862,-0.021661263
PSS_5_8,"During the past month, how often have you had trouble sleeping because you have bad dreams?",PSS,0.083397664,-0.010026483,-0.015398373,-0.042289387,-0.07217856,-0.07748684,-0.04513213,-0.012773126
PSS_5_9,"During the past month, how often have you had trouble sleeping because you have pain?",PSS,0.08546934,-0.014961438,-0.033703633,-0.06991805,-0.054443836,-0.0055372603,-0.053595006,0.021302711
PSS_6,"During the past month, how would you rate your sleep quality overall?",PSS,0.0948095,0.12362386,0.00344145,0.010156281,0.08082263,0.16291504,0.07347585,0.06183184
PSS_7,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",PSS,0.050854243,-0.006074769,-0.05297031,-0.04256998,-0.034780804,0.0025644214,-0.064284965,0.004644183
PSS_8,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",PSS,0.17581967,0.1280948,0.03990426,0.09749524,0.11354309,0.15982716,0.15469925,0.06045767
PSS_9,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",PSS,0.23746505,0.059070427,0.15765336,0.25922608,0.15338592,0.102633655,0.11003797,0.046127513
PWB_1,I like most parts of my personality.,PWB,0.18660335,0.17960913,0.08262346,0.19372669,0.15778801,0.22073574,0.25082904,0.18291341
PWB_10,I sometimes feel as if I've done all there is to do in life.,PWB,0.30412853,0.16337731,0.18437392,0.2620694,0.371746,0.16029331,0.20950063,0.26874965
PWB_11,"For me, life has been a continuous process of learning, changing, and growth.",PWB,0.33007914,0.24641557,0.25353235,0.38749158,0.2764054,0.21927822,0.28411427,0.29246932
PWB_12,I think it is important to have new experiences that challenge how I think about myself and the world.,PWB,0.3409022,0.26630634,0.102562204,0.36428097,0.23910312,0.1825604,0.3224405,0.37259367
PWB_13,"People would describe me as a giving person, willing to share my time with others.",PWB,0.20176044,0.17373423,0.2295316,0.17803259,0.29604676,0.179298,0.36589497,0.31968933
PWB_14,I gave up trying to make big improvements or changes in my life a long time ago.,PWB,0.24627009,0.10556729,0.18119,0.22657037,0.18102808,0.064618185,0.20486256,0.1457912
PWB_15,I tend to be influenced by people with strong opinions.,PWB,0.1774066,0.10935929,0.014166412,0.20489235,0.07628812,-0.022992125,0.24333748,0.20323153
PWB_16,I have not experienced many warm and trusting relationships with others.,PWB,0.24436793,0.18083419,0.07321252,0.03944501,0.08442582,-0.029751718,0.45514268,0.23493981
PWB_17,"I have confidence in my own opinions, even if they are different from the way most other people think.",PWB,0.13608833,0.14140455,-0.0013851002,0.19747803,0.05750195,0.059962817,0.24203725,0.1798848
PWB_18,"I judge myself by what I think is important, not by the values of what others think is important.",PWB,0.23093645,0.20198664,0.103951715,0.24208584,0.20696339,0.1510154,0.2641127,0.3599984
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",PWB,0.20306309,0.11573589,0.065907,0.18340401,0.213571,0.11017792,0.20849137,0.1710827
PWB_3,"Some people wander aimlessly through life, but I am not one of them.",PWB,0.24683106,0.21205243,0.1297454,0.21033302,0.22105709,0.12092505,0.24593313,0.22703728
PWB_4,The demands of everyday life often get me down.,PWB,0.28694358,0.19319223,0.17465767,0.19164899,0.2768332,0.13873023,0.20851889,0.17793754
PWB_5,In many ways I feel disappointed about my achievements in life.,PWB,0.23368248,0.03998501,0.09536531,0.2019783,0.26665488,0.103668526,0.14811257,0.13152157
PWB_6,Maintaining close relationships has been difficult and frustrating for me.,PWB,0.25198686,0.10436894,0.14552934,0.055421673,0.073311225,-0.06507429,0.34624475,0.06563266
PWB_7,I live life one day at a time and don't really think about the future.,PWB,0.19476397,0.16975778,0.18343356,0.19715632,0.1447349,0.12762481,0.115370914,0.19131
PWB_8,"In general, I feel I am in charge of the situation in which I live.",PWB,0.28255096,0.23320854,0.18270446,0.19046071,0.11594734,0.097144105,0.19259694,0.19803283
PWB_9,I am good at managing the responsibilities of daily life.,PWB,0.26167494,0.2587654,0.30223194,0.3208856,0.4201099,0.24315865,0.21496737,0.20630613
PWS_1,I am always optimistic about my future.,PWS,0.20198528,0.12378414,0.26714572,0.19661355,0.19142579,0.17047143,0.15662979,0.14628255
PWS_10,My body seems to resist physical illness very well.,PWS,0.12647183,0.11363584,0.02648806,0.04594491,0.0824818,0.43247312,0.036026504,0.14287151
PWS_11,Life does not hold much future promise for me.,PWS,0.18550648,0.07591734,0.22864628,0.18534337,0.1633354,0.06943495,0.17590253,0.19965383
PWS_12,I avoid activities which require me to concentrate.,PWS,0.18097253,0.24406743,0.19707331,0.35673374,0.30458853,0.25392574,0.18109694,0.13700144
PWS_13,I always look on the bright side of things.,PWS,0.22903284,0.17601523,0.058687113,0.15537871,0.19997597,0.061477136,0.10116047,0.17606577
PWS_14,I sometimes think I am a worthless individual.,PWS,0.18889333,0.050035886,0.17495036,0.11372336,0.2555754,0.05688601,0.14280017,0.19196618
PWS_15,My friends know they can always confide in me and ask me for advice.,PWS,0.07208732,0.084401086,0.12095685,0.11241163,-0.0014154671,0.02657919,0.28968772,0.04403894
PWS_16,My physical health is excellent.,PWS,0.1524646,0.19913211,0.15113774,0.13865632,0.22093038,0.5883115,0.14676952,0.17809048
PWS_17,Sometimes I don't understand what life is all about.,PWS,0.2661084,0.22835012,0.14004526,0.23023601,0.21016625,0.15074763,0.254149,0.24321361
PWS_18,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",PWS,0.28813604,0.15678659,0.090258166,0.54601324,0.40152866,0.2668745,0.24482524,0.2672451
PWS_19,"In the past, I have expected the best.",PWS,0.111574255,0.008640493,0.017796602,0.03711496,0.046005305,-0.027251715,0.06446417,0.028569598
PWS_2,There have been times when I felt inferior to most of the people I knew.,PWS,0.2638744,0.038802218,0.0005347155,0.13164213,0.13146658,-0.038917825,0.2703516,0.12980938
PWS_20,I am uncertain about my ability to do things well in the future.,PWS,0.22148664,0.15397704,0.31060356,0.3389593,0.29431644,0.22324777,0.15466721,0.16445272
PWS_21,My family has been available to support me in the past.,PWS,0.17748928,0.052532356,0.2337782,0.040867545,0.1251411,0.10915078,0.2538826,0.10308828
PWS_22,"Compared to people I know, my past physical health has been excellent.",PWS,0.2004042,0.14807329,0.10616286,0.100258395,0.18671241,0.4847837,0.18737738,0.11425527
PWS_23,I feel a sense of mission about my future.,PWS,0.2361464,0.17023906,0.21968213,0.24043615,0.2299283,0.14446838,0.18942639,0.30533433
PWS_24,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).,PWS,0.14986515,0.09690673,0.18625847,0.23027794,0.24695162,0.1698678,0.11206491,0.12653789
PWS_25,"In the past, I hardly ever expected things to go my way.",PWS,0.17415626,0.11111641,0.108244315,0.1279845,0.14487913,0.021783803,0.16621408,0.11167653
PWS_26,I will always be secure with who I am.,PWS,0.12028651,0.114787415,0.14854358,0.098453045,0.06959612,0.11328673,0.23218425,0.1420532
PWS_27,"In the past, I have not always had friends with whom I could share my joys and sorrows.",PWS,0.2667242,0.0590534,0.07131207,0.040884715,0.08769466,-0.043297168,0.3787779,0.20059797
PWS_28,I expect to always be physically healthy.,PWS,0.14220136,0.22899763,0.15863994,0.12087114,0.19960336,0.5568274,0.15029739,0.14194435
PWS_29,I have felt in the past that my life was meaningless.,PWS,0.33188933,0.16314757,0.17943601,0.1753519,0.28864527,0.11858262,0.22726174,0.2948627
PWS_3,Members of my family come to me for support.,PWS,0.15917465,0.044016726,0.1648895,0.037233345,0.11923234,0.11366322,0.27684587,0.17224658
PWS_30,"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",PWS,0.36174965,0.18605359,0.20453091,0.571797,0.30282164,0.14149687,0.26879412,0.29694206
